Name,Avatar,Clue1,Clue2,Clue3,Clue4,Clue5
Alice,🦸,always forgets to unmute,loves coffee more than sleep,background always changes,first to show up to meetings,has the best memes
Bob,🐱,takes the funniest screenshots,always has a cat on camera,claims they're on mute,background is always blurry,types in all caps
Carol,🦊,talks over everyone,never has their camera on,uses too many emojis,always late to meetings,forgets to turn off share screen
David,🧙,background looks professional,speaks in a monotone,asks great questions,always muted during important moments,camera quality is pristine
Emma,🐉,animated hand gestures,bright backgrounds,laughs at own jokes,always eating during calls,keyboard clicker
Frank,🎭,mysterious background,camera angle is weird,never turns on video,voice sounds distant,always has "connection issues"
Grace,🚀,super enthusiastic,asks for screenshots constantly,accidentally shares screen,types in Slack during calls,coffee addict
Henry,⚡,technical difficulties expert,shares screen by accident,forgets to unmute for 5 minutes,has 47 browser tabs open,"can you hear me now?"
Iris,🎸,always dressed up,professional background,speaks eloquently,never has technical issues,role model attendee
Jack,🧛,vampirish schedule,always last to join,first to leave,has the most creative excuses,lurks in chat silently
